id,question,correctoption,mcqcognitivelevel,option_a,option_b,option_c,option_d,option_e,option_f,rationale
58,"Un correo de ""soporte-minsur@gmai1.com"" pide cambiar tu contraseña en 10 minutos. ¿Qué señales de phishing tiene?",B,Baja,"Ninguna, es un aviso normal",Dominio falso y urgencia artificial,Solo que está en español,Que llegó en horario laboral,,,El dominio imitado (gmai1) y la presión de tiempo son señales típicas de phishing.
59,"Recibes un correo del ""gerente de finanzas"" pidiendo una transferencia urgente a un proveedor nuevo. ¿Qué haces primero?",C,Media,"La ejecuto, es urgente",Respondo al correo pidiendo confirmación,Llamo al gerente a su número conocido para verificar,Se la paso a un compañero,,,El fraude del CEO se detiene verificando por un canal distinto al del mensaje sospechoso.
60,Te llaman diciendo ser de TI y piden el código que acabas de recibir por SMS. ¿Qué haces?,B,Media,"Se lo dicto, es de TI","No lo comparto: los códigos son personales, y reporto la llamada",Se lo doy si conocen mi nombre,Cuelgo y no hago nada más,,,Un código de verificación nunca se comparte; la llamada debe reportarse como intento de fraude.
61,¿Cuál de estos adjuntos es el más sospechoso?,B,Baja,informe_mensual.xlsx enviado por tu jefa,factura.pdf.exe de un remitente desconocido,plano.dwg del área de ingeniería,acta_reunion.docx del comité,,,La doble extensión oculta un ejecutable; es una técnica clásica para instalar malware.
62,¿Qué publicación en redes sociales aumenta el riesgo de ingeniería social contra la empresa?,B,Media,Una foto familiar en la playa,Una foto del tablero de control de la planta con etiquetas de equipos,Un saludo de cumpleaños,Una receta de cocina,,,Las imágenes de sistemas internos revelan tecnología y proveedores que un atacante puede explotar.
63,¿Por qué es importante instalar las actualizaciones del sistema cuando TI las libera?,B,Baja,Para cambiar el diseño de las ventanas,Porque corrigen vulnerabilidades que ya están siendo explotadas,Para que el equipo sea más lento,No es importante,,,La mayoría de ataques aprovecha fallas ya corregidas en equipos sin actualizar.
64,Encuentras un USB en el estacionamiento de la unidad minera. ¿Qué haces?,C,Baja,Lo conecto a mi laptop para ver de quién es,Lo conecto a un equipo de planta,Lo entrego a seguridad o TI sin conectarlo,Me lo llevo a casa,,,"Los USB ""perdidos"" son una técnica de ataque; nunca deben conectarse a equipos corporativos."
65,Necesitas enviar un informe confidencial a un consultor externo. ¿Cuál es la vía correcta?,C,Media,"Por WhatsApp, es más rápido",Desde mi correo personal,"Por la plataforma corporativa de intercambio seguro, con autorización",Subirlo a un enlace público,,,"Solo los canales corporativos garantizan cifrado, trazabilidad y control de acceso."
66,Estás en un aeropuerto y debes revisar contratos. ¿Qué es lo correcto?,B,Media,Usar el wifi abierto del aeropuerto sin más,Conectar la VPN corporativa antes de acceder,Pedir la clave del wifi a un desconocido,Enviar los contratos a mi correo personal para leerlos después,,,La VPN cifra el tráfico y protege la información en redes que no controlamos.
67,Pierdes el celular donde tenías el correo corporativo. ¿Qué haces primero?,B,Baja,Comprar otro y no avisar,Reportarlo de inmediato a TI para bloquear el acceso y borrar los datos,Esperar unos días por si aparece,Publicar en redes que se perdió,,,El reporte inmediato permite revocar sesiones y borrar el dispositivo antes de que se use la información.
68,¿Por qué los sistemas de control de planta se mantienen separados de la red de oficinas?,B,Media,Por costumbre,Para que un incidente en la red corporativa no llegue a los equipos que controlan procesos físicos,Porque usan otro idioma,Para ahorrar cables,,,La segmentación evita que malware de oficina alcance controladores que mueven equipos reales.
69,"Un técnico de un proveedor pide conectar su laptop directamente al PLC de la chancadora para ""un ajuste rápido"". ¿Qué corresponde?",B,Alta,"Dejarlo, es especialista","Exigir autorización, uso del acceso supervisado y registro de la intervención",Prestarle mi usuario,Dejarlo si es fuera del turno,,,"Los accesos a OT deben ser autorizados, supervisados y trazables; un ajuste no controlado puede detener la planta."
70,Varios archivos de tu carpeta compartida cambiaron a la extensión .locked y aparece una nota pidiendo dinero. ¿Qué es y qué haces?,B,Media,Un error del disco; reinicio,Ransomware; desconecto el equipo de la red y reporto de inmediato,Un virus menor; borro la nota,Pago para recuperar los archivos,,,"Ante ransomware, aislar el equipo y reportar evita que cifre la red; nunca se paga por cuenta propia."
71,"Durante un incidente de seguridad, ¿cuál de estas acciones es incorrecta?",C,Media,Desconectar el equipo de la red,Avisar al canal de incidentes,"Apagar el equipo y formatearlo para ""resolverlo""",Anotar la hora y lo que observaste,,,Formatear destruye la evidencia que el equipo de respuesta necesita para entender y contener el ataque.
72,¿Cuál es el objetivo del análisis posterior a un incidente?,B,Baja,Encontrar un culpable para sancionarlo,"Entender la causa, corregir controles y compartir lo aprendido",Cerrar el caso lo antes posible,Ocultarlo a la gerencia,,,"La cultura justa busca aprender y mejorar, no castigar a quien reportó."
73,Una comunidad cercana pide información sobre un nuevo depósito de relaves. ¿Cuál es la actuación alineada con los DDHH?,B,Media,Negar la información por ser técnica,Entregar información clara y oportuna y abrir espacios de diálogo,Esperar a que el proyecto esté construido,Responder solo si hay una protesta,,,El acceso a la información y la participación son parte del respeto a los derechos de las comunidades.
74,El monitoreo muestra un cambio en la calidad del agua aguas abajo de la operación. ¿Qué corresponde?,B,Alta,Esperar al siguiente monitoreo,"Investigar de inmediato, informar a las autoridades y comunidades, y actuar sobre la causa",Ajustar los reportes,Culpar a otras actividades de la zona,,,La debida diligencia exige actuar con rapidez y transparencia ante un posible impacto en el agua.
75,Detectas que una contratista hace trabajar a su personal 14 horas diarias sin descanso. ¿Qué haces?,B,Media,"Nada, no son empleados de Minsur",Reportarlo por el canal correspondiente para que se corrija,Felicitar la productividad,Pedir que lo hagan fuera de la vista,,,Los impactos en la cadena de valor son responsabilidad de la empresa según los Principios Rectores.
76,Un proveedor de alimentos entrega productos elaborados con trabajo de menores. ¿Cuál es la respuesta correcta?,B,Media,Seguir comprando por el precio,Suspender la relación hasta que se corrija y exigir un plan de remediación,Ignorarlo porque es un tema del proveedor,Pedir un descuento,,,La empresa no puede contribuir a violaciones graves de DDHH a través de sus proveedores.
77,"Durante una protesta pacífica en la vía de acceso, el personal de seguridad propone dispersar a la fuerza. ¿Qué corresponde?",B,Alta,Autorizar el uso de la fuerza,"Priorizar el diálogo, respetar la protesta pacífica y escalar a las autoridades competentes",Contratar más guardias,Grabar a los manifestantes para denunciarlos,,,La protesta pacífica es un derecho; la fuerza solo cabe ante un riesgo real y de forma proporcional.
78,Un colaborador hace bromas reiteradas sobre el origen étnico de una compañera. ¿Qué es esto y qué haces?,B,Media,Humor inofensivo; nada,Discriminación; intervengo con respeto y lo reporto por el canal de integridad,Un asunto privado entre ellos,La animo a cambiar de área,,,Las bromas reiteradas sobre el origen étnico son discriminación y deben reportarse.
79,"¿Qué significa consentimiento libre, previo e informado?",B,Baja,Firmar un acta el día de la obra,"Un acuerdo tomado sin presión, antes de decidir y con información completa",Un permiso de la autoridad municipal,Un aviso por radio,,,"El CLPI exige ausencia de coerción, anticipación y comprensión plena de los impactos."
80,Una familia reasentada recibe una vivienda pero pierde el acceso a sus tierras de cultivo. ¿Qué principio se incumple?,B,Media,"Ninguno, ya tiene casa",El de restituir o mejorar los medios de vida,El de rapidez del proyecto,El de confidencialidad,,,"El reasentamiento debe mantener o mejorar los medios de subsistencia, no solo la vivienda."
81,Un líder comunitario critica públicamente la operación. ¿Cuál es la actuación correcta?,B,Alta,Investigarlo para desacreditarlo,"Escuchar sus preocupaciones y responder por los canales de diálogo, sin represalias",Restringirle el acceso a la zona,Pedir a la policía que lo vigile,,,La política de DDHH protege a los defensores; las represalias son una violación grave.
82,El área de seguridad quiere publicar en el comedor la lista de colaboradores con enfermedades ocupacionales. ¿Es correcto?,B,Media,"Sí, es transparencia",No: los datos de salud son sensibles y su difusión viola la privacidad,"Sí, si es con nombres abreviados","Sí, si lo aprueba el sindicato",,,Los datos de salud tienen protección especial; difundirlos vulnera la privacidad y la dignidad.
83,Una comunidad quechuahablante no usa el buzón de reclamos porque los formularios están solo en castellano. ¿Qué falla?,B,Media,"Nada, deben aprender",La accesibilidad del mecanismo,La confidencialidad,La rapidez,,,Los Principios Rectores exigen mecanismos accesibles en lengua y formato adecuados.
84,Un derrame afecta el pastizal de una familia. ¿Cuál es una remediación adecuada?,B,Media,Un comunicado de prensa,"Limpieza, compensación por las pérdidas y medidas para que no se repita",Una visita de cortesía,Esperar la sentencia judicial,,,La remediación debe ser proporcional al daño y prevenir su repetición.
85,Un operador detiene una tarea porque el equipo no tiene la guarda de seguridad. Su supervisor lo presiona para continuar. ¿Quién actúa correctamente?,B,Baja,El supervisor: la producción es prioridad,El operador: tiene derecho a negarse a un trabajo inseguro,Ninguno,Ambos,,,El derecho a negarse a un trabajo inseguro está reconocido y protegido.
86,En la unidad no hay vestuarios para mujeres y se les asignan solo tareas administrativas. ¿Qué derecho se afecta?,B,Baja,Ninguno,La igualdad de oportunidades y de trato,La libertad sindical,La privacidad,,,La falta de instalaciones y la limitación de tareas por género son discriminación.
87,¿Qué demuestra una empresa que publica anualmente sus impactos y medidas en DDHH?,B,Baja,Que tiene muchos problemas,Rendición de cuentas y compromiso con la mejora continua,Que quiere evitar auditorías,Que busca publicidad,,,"Reportar es parte del ""conocer y mostrar"" de los Principios Rectores."
